node	pagerank
8301	0.00022321
4703	0.00022317
6843	0.00022313
1274	0.00022245
5536	0.00022245
9658	0.00022232
8307	0.00022231
6084	0.00022229
9763	0.00022218
9936	0.00022215
8905	0.00022212
3683	0.00022177
9068	0.00022159
5729	0.00022147
3613	0.00022141
7305	0.00022119
813	0.00022103
145	0.00022072
8939	0.00022068
1133	0.00022066
752	0.00022066
8628	0.00022016
7909	0.00021981
7936	0.00021966
2273	0.00021960
6918	0.00021958
3070	0.00021947
3159	0.00021934
6861	0.00021908
2967	0.00021889
6955	0.00021888
5077	0.00021885
4846	0.00021879
4371	0.00021851
7835	0.00021816
8509	0.00021816
7080	0.00021750
4065	0.00021726
8850	0.00021724
49	0.00021709
8344	0.00021707
6782	0.00021702
3519	0.00021681
8117	0.00021675
2815	0.00021666
7311	0.00021635
2255	0.00021631
9975	0.00021626
9192	0.00021604
7731	0.00021600
8150	0.00021583
653	0.00021567
719	0.00021544
4345	0.00021501
2875	0.00021490
8977	0.00021486
6525	0.00021479
357	0.00021448
1207	0.00021444
5427	0.00021439
6070	0.00021432
797	0.00021427
8209	0.00021427
6868	0.00021424
6506	0.00021384
4947	0.00021356
8914	0.00021356
823	0.00021352
1481	0.00021336
2444	0.00021328
6523	0.00021320
5549	0.00021314
6887	0.00021297
8907	0.00021292
8059	0.00021260
6038	0.00021229
4593	0.00021228
7179	0.00021219
3090	0.00021211
9377	0.00021205
3591	0.00021203
8900	0.00021202
4138	0.00021175
9850	0.00021162
1795	0.00021158
311	0.00021145
6314	0.00021140
9270	0.00021125
5407	0.00021113
1864	0.00021098
7855	0.00021097
9302	0.00021096
4536	0.00021053
5339	0.00021034
6531	0.00021015
6878	0.00020997
1412	0.00020969
689	0.00020969
2143	0.00020961
4911	0.00020954
8300	0.00020949
8176	0.00020934
1661	0.00020928
2399	0.00020912
3808	0.00020894
2932	0.00020883
1816	0.00020872
9038	0.00020860
7454	0.00020857
319	0.00020822
9087	0.00020813
104	0.00020806
5085	0.00020789
8719	0.00020778
7803	0.00020748
5873	0.00020745
611	0.00020741
2917	0.00020729
5253	0.00020727
9749	0.00020700
568	0.00020688
8266	0.00020678
8897	0.00020674
1923	0.00020660
5927	0.00020659
2415	0.00020658
3879	0.00020656
6438	0.00020653
4945	0.00020645
7452	0.00020633
9901	0.00020633
2430	0.00020632
3571	0.00020631
9092	0.00020628
6731	0.00020625
4543	0.00020595
9915	0.00020586
4564	0.00020570
5052	0.00020560
601	0.00020542
8406	0.00020530
5680	0.00020514
6655	0.00020506
4526	0.00020499
9585	0.00020493
6751	0.00020491
7473	0.00020490
4831	0.00020471
7811	0.00020457
9190	0.00020452
4503	0.00020451
7005	0.00020447
2580	0.00020445
4922	0.00020432
2725	0.00020404
5730	0.00020396
4843	0.00020350
1848	0.00020343
9007	0.00020333
1868	0.00020292
6717	0.00020287
7231	0.00020264
8482	0.00020252
9024	0.00020248
9444	0.00020244
1204	0.00020233
8310	0.00020227
8331	0.00020226
3048	0.00020225
8727	0.00020223
9790	0.00020218
7896	0.00020216
1648	0.00020208
6765	0.00020208
9389	0.00020187
5431	0.00020181
8199	0.00020175
3310	0.00020170
8308	0.00020169
8475	0.00020140
5298	0.00020133
9200	0.00020133
9913	0.00020120
4339	0.00020110
7342	0.00020110
8847	0.00020078
7218	0.00020076
1140	0.00020064
4331	0.00020064
9767	0.00020053
6062	0.00020048
1435	0.00020047
8254	0.00020041
9968	0.00020033
9204	0.00020022
9441	0.00020007
5844	0.00019992
8667	0.00019959
1582	0.00019944
9365	0.00019932
5698	0.00019917
7982	0.00019909
9760	0.00019898
4475	0.00019881
4193	0.00019877
7748	0.00019862
5375	0.00019846
8898	0.00019832
2295	0.00019831
5262	0.00019830
6825	0.00019821
9893	0.00019808
9932	0.00019807
8944	0.00019803
6666	0.00019802
9727	0.00019791
4295	0.00019777
7786	0.00019763
4010	0.00019752
530	0.00019749
7170	0.00019708
578	0.00019686
9598	0.00019649
3684	0.00019637
6693	0.00019624
8624	0.00019624
6427	0.00019617
8756	0.00019616
1192	0.00019614
6917	0.00019607
7703	0.00019593
4029	0.00019592
9201	0.00019579
9016	0.00019563
3060	0.00019539
2738	0.00019529
256	0.00019521
4403	0.00019519
6853	0.00019518
9690	0.00019513
5043	0.00019510
3396	0.00019484
3144	0.00019476
9643	0.00019476
6551	0.00019455
3893	0.00019440
2209	0.00019431
2655	0.00019429
7451	0.00019428
3214	0.00019418
1403	0.00019417
1978	0.00019411
8937	0.00019408
6994	0.00019403
7257	0.00019403
4720	0.00019395
1941	0.00019385
7153	0.00019377
4574	0.00019372
5418	0.00019338
7269	0.00019335
5260	0.00019333
3185	0.00019332
3728	0.00019330
5133	0.00019318
3524	0.00019304
1260	0.00019301
8224	0.00019300
9238	0.00019298
9950	0.00019297
7950	0.00019290
3792	0.00019289
920	0.00019276
5645	0.00019274
5869	0.00019268
7372	0.00019260
893	0.00019250
7020	0.00019243
1010	0.00019234
4949	0.00019225
8951	0.00019222
2578	0.00019220
1956	0.00019200
6180	0.00019165
5511	0.00019162
8630	0.00019134
9349	0.00019133
7578	0.00019129
8180	0.00019124
7800	0.00019116
4198	0.00019113
4807	0.00019112
4240	0.00019109
7480	0.00019099
1565	0.00019096
188	0.00019090
1996	0.00019086
9776	0.00019069
9240	0.00019068
4752	0.00019065
6149	0.00019062
5162	0.00019051
5118	0.00019049
3997	0.00019047
1330	0.00019008
4239	0.00019006
8861	0.00019006
4557	0.00019004
9224	0.00019004
3678	0.00018998
2184	0.00018991
6565	0.00018988
7603	0.00018985
8922	0.00018978
6699	0.00018977
2393	0.00018968
9358	0.00018968
2733	0.00018961
9256	0.00018960
2200	0.00018956
4264	0.00018867
5747	0.00018865
4073	0.00018857
9203	0.00018844
7606	0.00018842
9853	0.00018838
9039	0.00018837
2587	0.00018828
6558	0.00018817
715	0.00018805
3257	0.00018798
6704	0.00018791
6767	0.00018789
6108	0.00018786
8732	0.00018786
7272	0.00018775
9489	0.00018775
2222	0.00018766
7710	0.00018764
9488	0.00018764
7314	0.00018760
3804	0.00018759
2854	0.00018741
5931	0.00018734
9593	0.00018723
7308	0.00018722
8165	0.00018718
6547	0.00018717
1100	0.00018700
3453	0.00018690
7532	0.00018690
8901	0.00018690
2422	0.00018687
7686	0.00018671
6214	0.00018669
7846	0.00018667
4061	0.00018661
7946	0.00018661
3899	0.00018660
1276	0.00018659
5051	0.00018648
1697	0.00018641
8576	0.00018631
3239	0.00018623
9703	0.00018618
7847	0.00018613
3688	0.00018611
7110	0.00018608
5611	0.00018606
2449	0.00018604
8020	0.00018592
7368	0.00018587
7664	0.00018580
6116	0.00018575
8690	0.00018563
9696	0.00018552
4884	0.00018549
6428	0.00018542
7749	0.00018540
6204	0.00018538
4430	0.00018537
8864	0.00018514
3154	0.00018501
7910	0.00018501
9845	0.00018499
7154	0.00018495
4040	0.00018494
9115	0.00018489
1083	0.00018487
9650	0.00018475
9580	0.00018469
6492	0.00018461
9519	0.00018460
6850	0.00018456
27	0.00018435
7499	0.00018423
9659	0.00018415
9420	0.00018396
5533	0.00018374
7865	0.00018369
8163	0.00018354
2267	0.00018351
637	0.00018344
5523	0.00018340
333	0.00018317
5674	0.00018313
7888	0.00018310
6721	0.00018304
5055	0.00018302
8226	0.00018302
9217	0.00018302
7849	0.00018284
3216	0.00018265
6656	0.00018262
7738	0.00018247
9923	0.00018242
8281	0.00018224
29	0.00018222
8943	0.00018193
